index,orthography,IPA,gloss,language_variety
1,ca,ca33,log,White Hmong
2,cab,ca45,haul or tow,White Hmong
3,cag,ca53,"root, origin, what (ua le caag how)",White Hmong
4,caj,ca53,ridge,White Hmong
5,cam,ca21,"to stick, glue; to argue, debate",White Hmong
6,cas,ca22,"why, how",White Hmong
7,cav,ca24,"argue, disagree, praise (can also be a tree that has fallen)",White Hmong
8,cig,ci53,light up,White Hmong
9,cim,ci21,"mark, sign, symbol",White Hmong
10,cug,cu53,collect,White Hmong
11,kab,ka45,insect,White Hmong
12,kaj,ka53,"dawn, bright",White Hmong
13,kam,ka21,"allow, permit",White Hmong
14,kas,ka22,maggots,White Hmong
15,kav,ka24,"stem, stalk",White Hmong
16,kim,ki21,expensive; boy’s name,White Hmong
17,kis,ki22,to infect,White Hmong
18,kos,ko22,stem,White Hmong
19,kug,ku53,very poor,White Hmong
20,kum,ku21,boy’s name,White Hmong
21,paj,pa53,flower,White Hmong
22,pam,pa21,"bridge, blanket",White Hmong
23,pam,pa21,blanket,White Hmong
24,pas,pa22,"pond, lake, staff",White Hmong
25,pas,pa22,stick,White Hmong
26,pim,pi21,vagina,White Hmong
27,po,po33,pancreas,White Hmong
28,pob,po45,lump,White Hmong
29,pog,po53,grandmother,White Hmong
30,poj,po53,female,White Hmong
31,pom,po21,see,White Hmong
32,pos,po22,Thorn/cover,White Hmong
33,pov,po24,throw,White Hmong
34,pum,pu21,to see,White Hmong
35,pus,pu22,escape with all or part of the trap/arrow still attached,White Hmong
36,qag,qa53,"axle, swivel",White Hmong
37,qas,qa22,"disgust, sicken",White Hmong
38,rau,ʈau33 / ʈʌu33,six,White Hmong
39,raug,ʈau53 / ʈʌu53,to suffer (something),White Hmong
40,rauj,ʈau53 / ʈʌu53,hammer,White Hmong
41,raum,ʈau21 / ʈʌu21,kidney,White Hmong
42,raus,ʈau22 / ʈʌu22,to be full (of food),White Hmong
43,rauv,ʈau24 / ʈʌu24,to light a fire,White Hmong
44,rheeb,ʈhẽ45 / ʈhẽŋ45,to scratch the ground,White Hmong
45,tag,ta53,done,White Hmong
46,tam,ta21,"represent, sharpen (knife)",White Hmong
47,tas,ta22,"finished/end, done",White Hmong
48,tau,tau33 / tʌu33,to be able,White Hmong
49,taub,tau45 / tʌu45,pumpkin,White Hmong
50,taug,tau53 / tʌu53,to follow,White Hmong
51,tauj,tau53 / tʌu53,species of grass,White Hmong
52,taum,tau21  /tʌu21,bean,White Hmong
53,tauv,tau24 / tʌu24,to dam up (water),White Hmong
54,tawg,taɨ53 / taɯ53,explode,White Hmong
55,tawm,taɨ21 / taɯ21,to go out,White Hmong
