filename,IPA,gloss,orthography,index,recording_year
ndae__1,ndæ̤11,horse,ndje,10,1993
nae2_,næ̰33,becomes,n'e,48,1993
ba2_,βa̰33,"carries, transports",b'a,55,1993
bae3_,βæ̰33,hits,b'e,57,1993
wae3_,βæ̰3,hits,b'e,57,1993
ja2_,ja̰33,"brings, transports",y'a,60,1993
jae2_,jæ̰33,excrement,y'e,62,1993
nka2_,nka̰33,high,nk'a,66,1993
hwa2_,ʍa̰33,passes,j'ua,74,1993
ha2_,ha̰33,he passed,j'a,76,1993
ndae2_,ndæ̰33,"companion, man",d'e,83,1993
ba1_,βa̰11/wa̰11,thus,b'a,84,1993
wa1_,βa̰,thus,b'a,84,1993
cha3_,ʧa̰55,loads,ch'a,87,1993
namicha2_,na33m̥i33ʧa̰33,nobody,najmich'a,88,1993
sae2_,sæ̰33,to exist,s'e,89,1993
tsae1_,ts͡ æ̰11,"his, hers, theirs",ts'e,90,1993
jae__1,jæ̤33,boil (noun),yje,123,1993
ndja__1,nda̤11,animal horn,ndjia,126,1993
thae2_,thæ̰33,sorcery,tj'e,138,1993
ndae1_,ndæ̰11,buttock,nd'e,142,1993
fi2kha3_,ɸi33kha̰55,is going to bring,fikj'a,149,1993
cha1_,ʧa̰11,spoon,chj'a,150,1993
thae2,thæ33,itch,the,151,1993
tatha2,ta33tha33,sticky,tatja,152,1993
tshae2,tshæ33,spotted,tsje,153,1993
tsha3,t͡sha55,gives,tsja,154,1993
chatae1,ʧha11tæ11,wasp,chjate,156,1993
tifikhae2,ti55fi33khæ33,is finished,tifikje,157,1993
chukha3,ʧu11kha55,skunk,chukja,158,1993
kwhae2,kʍhæ11,file,kjwæ,159,1993
kwha1,kʍha11,will happen,kjwa,160,1993
tae2,tæ33,ten,te,161,1993
kamata2,ka33ma33ta33,it became thick,kamata,162,1993
tsa2,tsa33,moral,tsa2,164,1993
cha3,ʧa55,old,cha,166,1993
kikae2,ki33kæ33,I saw him,kikæ,167,1993
ka2,ka33,bald,ka2,168,1993
ntae3,ntæ55,shoes,nte,171,1993
nta2,nta33,soft,nta,172,1993
ntsae2_,ntsæ̰33,brother,nts'e,173,1993
ntsha1,nts͡ ha11,hair,ntsja,176,1993
ntshae1,nts͡ hæ11,kind of gourd,ntsje,181,1993
ndae2,ndæ33,deceased,nde,188,1993
nda2,nda33,good,nda,189,1993
na1,na11,woman,na1,194,1993
jae1,jæ11,snake,ye,219,1993
ja3,ja55,"tree, wood",ya,220,1993
sthae3,sthæ55,garbage,stje,226,1993
ndae__1,ndæ1̤1,horse,ndja,239,1993
ja__2,ja̤33,clothes,yja,248,1993
ngwa__2,ŋgwa3̤3,I will put on,ngjua,250,1993
tsae2,tsæ33,full,tse,278,1993
a2tsha1ndae1__,ʔa33tʃa11ndæ1̤1,my horse,NA,22,1984
a2tsha1ndae1_,ʔa33tʃa11ndæ̰11,my buttocks,NA,23,1984
a2tsha1nthae1,ʔa33tʃa11nthæ11,my seeds,NA,24,1984
hae2_,hæ̰33,green ear of corn,NA,51?,1984
i13ja1,ʔi15ʔja11,big leafcutter ants,NA,32,1984
ja1,ʔja11,leafcutter ants,NA,31,1984
jae1,jæ11,snake,NA,30,1984
jae1_,jæ̰11,manure,NA,29,1984
ju3nda2,ʔjũ55nda33,very good,NA,10,1984
kae2_,kæ̰33,dead,NA,49,1984
kwa1_,kwa̰11,it will happen,NA,75,1984
kwa1_2,kwa̰11,it will happen,NA,75,1984
mae2__,mæ3̤̃3,he wants,NA,48,1984
ndae1__,ndæ1̤1,horse,NA,17,1984
ndae1_,ndæ̰11,buttocks,NA,18,1984
ndza3__shu3,ndʒa5̤5ʃu55,chocolate drink,NA,62,1984
ndza3__shu3_2,ndʒa5̤5ʃu55,chocolate drink,NA,62,1984
ngwa1__,ngwa̤11,he puts on,NA,74,1984
ngwa1__2,ngwa1̤1,he puts on,NA,74,1984
nthae1,(n)thæ11,seed,NA,19,1984
thae2,thæ33,itch,NA,54,1984
thae2_,thæ̰33,sorcery,NA,20,1984
ti3ma2ndzae2__,ti55mã33ndzæ̤33,visible,NA,47,1984
t3iwa3__a1,ti55βa̤55ʔa11,weave,NA,108,1984
ti3wa2__,ti55βa̤33,he hits,NA,68,1984
tsha3,tʃa55,old,NA,65,1984
tsha3_,tʃa̰55,load,NA,8,1984
tshae2_,tʃæ̰33,lazy,NA,50,1984
tshu1jae1__,tʃu11jæ̤11,turtle,NA,28,1984
