vowel,minimal_pair_id,english_gloss,IPA
i,101,give,bi21
i̠,101,rupture,bi̠21
i,102,heavy,li33
i̠,102,to market,li̠33
ɿ,103,twig,sɿ21
ɿ̱,103,new/thirsty,sɿ̱21
ɿ,104,dog,tsʰɿ33
ɿ̱,104,wink,tsʰɿ̱33
ʅ,105,seven,ʂʅ121
ʅ̱,105,screw,ʂʅ̱33
ʅ,106,wine,dʐʅ121
ʅ̱,106,sew,dʐʅ̱121
u,107,worm,bu33
u̠,107,full,bu̠33
u,108,flow out,fu33
u̠,108,maggot,fu̠33
ɛ,109,cut,dɛ33
ɛ̱,109,plain,dɛ̱
ɛ,110,pick up,kɛ33
ɛ̱,110,scold,kɛ̱33
ə,111,mountain,bə21
ə̠,111,hoof,bə̠21
ə,112,sunset,də21
ə̠,112,to fruit,də̠21
ɚ,113,bottle,bɚ21
ɚ̱,113,pillar,zɚ̱21
a,114,light,la21
a̱,114,scoop up,la̱21
a,115,open,kʰa21
a̱,115,carry on shoulder,kʰa̱21
o,116,sell,ɣo21
o̠,116,obtain,ɣo̠21
o,117,put,to33
o̠,117,chop,to̠33
ie,118,put into,tie33
i̠e̠,118,hold,ti̠e̠33
ie,119,come,lie21
i̠e̠,119,hand,li̠e̠21
